hotel_id,hotel_name,area,n_reviews,mean_rating,median_rating,low_share,high_share,median_word_count,details_coverage_pct,google_source_share_pct,sample_support,analysis_confidence,top_aspects,top_strength_signals,top_concern_signals
BOD089,Cape Bodrum Luxury Hotel & Beach,Gündoğan,20,4.6,5.0,0.1,0.9,66.5,60.0,80.0,MODERATE,MEDIUM,STAFF;ROOM;BEACH_SEA;FOOD;LOCATION,STAFF;ROOM;BEACH_SEA,REFUND_PAYMENT;RESERVATION;HYGIENE
BOD090,Costa Farilya Special Class Hotel Bodrum,Gündoğan,10,4.2,5.0,0.2,0.8,80.5,90.0,90.0,LOW_SUPPORT,LOW,STAFF;FOOD;CLEANLINESS;ROOM;BEACH_SEA,STAFF;FOOD;ROOM,PRICE_VALUE;NOISE;POOL
BOD095,Mivara Luxury Bodrum,Gündoğan,10,3.9,4.5,0.2,0.7,47.0,80.0,80.0,LOW_SUPPORT,LOW,STAFF;LOCATION;FOOD;ROOM;BEACH_SEA,LOCATION;STAFF;ROOM,CHECKIN_CHECKOUT;MANAGEMENT
BOD096,Olira Boutique Hotel&SPA,Gündoğan,10,5.0,5.0,0.0,1.0,26.5,40.0,40.0,LOW_SUPPORT,LOW,CLEANLINESS;ROOM;STAFF;LOCATION;SERVICE,CLEANLINESS;ROOM;STAFF,
BOD098,Swissôtel Living Bodrum,Gündoğan,30,4.633333333333334,5.0,0.033,0.933,36.5,80.0,80.0,MODERATE,MEDIUM,STAFF;ROOM;SERVICE;FOOD;LOCATION,ROOM;STAFF;SERVICE,
BOD099,Villa Oliva Butik Otel,Gündoğan,10,5.0,5.0,0.0,1.0,29.0,20.0,30.0,LOW_SUPPORT,LOW,FOOD;MANAGEMENT;ROOM;CLEANLINESS;FAMILY_KIDS,FOOD;MANAGEMENT;ROOM,
BOD101,Vita Bella Hotel Resort & Spa,Gündoğan,10,4.6,5.0,0.1,0.9,29.0,60.0,80.0,LOW_SUPPORT,LOW,STAFF;CLEANLINESS;LOCATION;FOOD;ROOM,CLEANLINESS;LOCATION;STAFF,
BOD102,Akyalı Butik Hotel,Güvercinlik,10,3.8,5.0,0.3,0.7,30.5,60.0,90.0,LOW_SUPPORT,LOW,CLEANLINESS;ROOM;STAFF;LOCATION;PRICE_VALUE,CLEANLINESS;STAFF;LOCATION,ROOM;BED_COMFORT;CHECKIN_CHECKOUT
BOD104,Greenport Bodrum,Güvercinlik,27,2.037037037037037,1.0,0.704,0.259,77.0,44.4,96.3,MODERATE,MEDIUM,ROOM;FOOD;CLEANLINESS;BAR_DRINKS;STAFF,POOL;FAMILY_KIDS;TRANSPORT_TRANSFER,ROOM;FOOD;CLEANLINESS
BOD105,İsolina Hotel,Güvercinlik,42,4.380952380952381,5.0,0.143,0.833,32.5,50.0,83.3,MODERATE,MEDIUM,STAFF;FOOD;ROOM;LOCATION;BAR_DRINKS,STAFF;FOOD;ROOM,NOISE;MANAGEMENT;FAMILY_KIDS
BOD106,La Blanche Island Bodrum,Güvercinlik,11,3.727272727272727,4.0,0.091,0.545,171.0,81.8,90.9,LOW_SUPPORT,LOW,ROOM;STAFF;FOOD;FACILITIES;BEACH_SEA,FACILITIES;FOOD;BAR_DRINKS,
BOD107,Le Méridien Bodrum Beach Resort,Güvercinlik,10,4.5,5.0,0.1,0.9,46.5,70.0,70.0,LOW_SUPPORT,LOW,ROOM;STAFF;CLEANLINESS;BEACH_SEA;FOOD,ROOM;BEACH_SEA;CLEANLINESS,MANAGEMENT;BAR_DRINKS;PRICE_VALUE
BOD108,Lujo Hotel Bodrum,Güvercinlik,10,3.6,4.5,0.4,0.6,99.5,70.0,70.0,LOW_SUPPORT,LOW,FOOD;BEACH_SEA;ROOM;SERVICE;STAFF,BEACH_SEA;STAFF;LOCATION,FOOD;ROOM;SERVICE
BOD109,Oscar Seaside Hotel & Spa,Güvercinlik,43,4.116279069767442,5.0,0.163,0.721,50.0,65.1,93.0,MODERATE,MEDIUM,ROOM;STAFF;FOOD;CLEANLINESS;BEACH_SEA,ROOM;STAFF;FOOD,COMMUNICATION
BOD111,Zena Hotel Bodrum,Güvercinlik,30,3.8333333333333335,5.0,0.233,0.7,40.0,83.3,100.0,MODERATE,MEDIUM,FOOD;STAFF;CLEANLINESS;ROOM;BEACH_SEA,FOOD;STAFF;CLEANLINESS,NOISE;PRICE_VALUE;RESERVATION
BOD113,Kadıkale Resort,Kadıkalesi,11,3.0,3.0,0.455,0.455,52.0,33.3,75.0,LOW_SUPPORT,LOW,ROOM;STAFF;CLEANLINESS;FOOD;BEACH_SEA,FOOD;STAFF;FACILITIES,BAR_DRINKS;BEACH_SEA;PRICE_VALUE
BOD119,"Bodrum Suites Apart Otel, Ortakent - Yahşi",Ortakent-Yahşi,10,5.0,5.0,0.0,1.0,42.5,80.0,90.0,LOW_SUPPORT,LOW,ROOM;POOL;CLEANLINESS;STAFF;BEACH_SEA,ROOM;POOL;CLEANLINESS,
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,10,3.8,5.0,0.3,0.7,64.5,70.0,80.0,LOW_SUPPORT,LOW,ROOM;FOOD;POOL;CLEANLINESS;STAFF,FOOD;CLEANLINESS;POOL,ROOM;STAFF;REFUND_PAYMENT
BOD122,Florida Otel,Ortakent-Yahşi,10,4.4,5.0,0.1,0.9,34.5,50.0,90.0,LOW_SUPPORT,LOW,FOOD;BEACH_SEA;ROOM;CLEANLINESS;STAFF,FOOD;BEACH_SEA;CLEANLINESS,
BOD123,Hotel Marma Beach,Ortakent-Yahşi,32,4.0,5.0,0.188,0.719,34.0,31.2,81.2,MODERATE,MEDIUM,BEACH_SEA;ROOM;STAFF;LOCATION;PRICE_VALUE,BEACH_SEA;ROOM;LOCATION,RESERVATION;REFUND_PAYMENT;COMMUNICATION
BOD125,Kefi Beach Bodrum,Ortakent-Yahşi,30,4.066666666666666,5.0,0.2,0.733,53.0,56.7,96.7,MODERATE,MEDIUM,BEACH_SEA;SERVICE;FOOD;CLEANLINESS;STAFF,BEACH_SEA;FOOD;CLEANLINESS,RESERVATION
BOD126,Khai Hotel Bodrum,Ortakent-Yahşi,10,4.6,5.0,0.1,0.9,63.5,80.0,80.0,LOW_SUPPORT,LOW,STAFF;CLEANLINESS;FOOD;ROOM;BEACH_SEA,CLEANLINESS;FOOD;STAFF,SERVICE
BOD127,Kriss Hotel,Ortakent-Yahşi,29,4.068965517241379,5.0,0.172,0.759,45.0,65.5,96.6,MODERATE,MEDIUM,CLEANLINESS;STAFF;FOOD;ROOM;LOCATION,CLEANLINESS;FOOD;STAFF,POOL;FACILITIES;AIR_CONDITIONING
BOD128,Lugga Boutique Hotel & Beach,Ortakent-Yahşi,87,4.781609195402299,5.0,0.023,0.931,38.0,71.3,89.7,STRONGER,HIGH,CLEANLINESS;ROOM;STAFF;FOOD;BEACH_SEA,CLEANLINESS;ROOM;STAFF,
