hotel_id,hotel_name,area,platform,direct_url,status,checked_at,note,discovery_method,confidence_score,detected_hotel_name
BOD155,Trend Life | Trendlife Hotels & Beach Club Bodrum Torba,Torba,google_travel,https://www.google.com/travel/hotels/entity/ChoI14f077b98uyAARoNL2cvMTFzeTNsbjZ4NRAB?q=Trend%20Life%20%7C%20Trendlife%20Hotels%20%26%20Beach%20Club%20Bodrum%20Torba%20Torba%20Bodrum&ved=2ahUKEwjO9r63n76WAxUECAYAHZ-9D3cQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgIKAA,verified_direct,2026-08-26T12:00:25Z,"detected='Trend Life | Trendlife Hotels & Beach Club Bodrum Torba' vs expected='Trend Life | Trendlife Hotels & Beach Club Bodrum Torba' (card near-text was 'Trend Life | Trendlife Hotels & Beach Club Bodrum Torba otel', 37 candidates on page) -> score=95",,95,Trend Life | Trendlife Hotels & Beach Club Bodrum Torba
BOD156,Voyage Torba,Torba,google_travel,https://www.google.com/travel/hotels/entity/ChkIpfq3j7GzsqYDGg0vZy8xMXR0MHlzeHFoEAE?q=Voyage%20Torba%20Torba%20Bodrum&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ&ved=2ahUKEwi1_8u-n76WAxV9QEECHTAXHqwQvukIegQIAxAC,verified_direct,2026-08-26T12:00:39Z,"detected='Voyage Torba' vs expected='Voyage Torba' (card near-text was 'Voyage Torba otelini yeni sekmede aç', 37 candidates on page) -> score=95",,95,Voyage Torba
BOD157,Voyage Torba Private,Torba,google_travel,,review_required,2026-08-26T12:00:58Z,"detected='Voyage Torba Private · 490 sonuç' vs expected='Voyage Torba Private' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=77",,77,Voyage Torba Private · 490 sonuç
BOD158,Arin Resort Bodrum,Turgutreis,google_travel,,review_required,2026-08-26T12:01:27Z,"detected='Arin Resort Bodrum · 253 sonuç' vs expected='Arin Resort Bodrum' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=75",,75,Arin Resort Bodrum · 253 sonuç
BOD159,Bodrum Ada Otel Turgutreis,Turgutreis,google_travel,,review_required,2026-08-26T12:01:45Z,"detected='Bodrum Ada Otel Turgutreis · 260 sonuç' vs expected='Bodrum Ada Otel Turgutreis' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=80",,80,Bodrum Ada Otel Turgutreis · 260 sonuç
BOD160,La Blanche Resort Bodrum,Turgutreis,google_travel,,review_required,2026-08-26T12:02:05Z,"detected='La Blanche Resort Bodrum · 258 sonuç' vs expected='La Blanche Resort Bodrum' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=79",,79,La Blanche Resort Bodrum · 258 sonuç
BOD161,MyElla Hotel Resort & Spa,Turgutreis,google_travel,https://www.google.com/travel/hotels/entity/ChoI-9CC1ZPs0P69ARoNL2cvMTFzejNyYm12ZhAB?q=MyElla%20Hotel%20Resort%20%26%20Spa%20Turgutreis%20Bodrum&ved=2ahUKEwjZ_MLvn76WAxVoh3wGHUiKCLMQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgIKAA,verified_direct,2026-08-26T12:02:22Z,"detected='MyElla Hotel Resort & Spa' vs expected='MyElla Hotel Resort & Spa' (card near-text was 'MyElla Hotel Resort & Spa otelini yeni sekmede aç', 37 candidates on page) -> score=95",,95,MyElla Hotel Resort & Spa
BOD162,Rammos Managed by Dedeman,Turgutreis,google_travel,https://www.google.com/travel/hotels/entity/ChkIlKDmk5L7uYMzGg0vZy8xMXN3cGg2cWZ4EAE?q=Rammos%20Managed%20by%20Dedeman%20Turgutreis%20Bodrum&ved=2ahUKEwit3Nb2n76WAxVKRUECHfWaGioQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,verified_direct,2026-08-26T12:02:37Z,"detected='Rammos Managed by Dedeman' vs expected='Rammos Managed by Dedeman' (card near-text was 'Rammos Managed by Dedeman otelini yeni sekmede aç', 33 candidates on page) -> score=95",,95,Rammos Managed by Dedeman
BOD163,Sundance Resort,Turgutreis,google_travel,,review_required,2026-08-26T12:02:54Z,"detected='Sundance Resort · 253 sonuç' vs expected='Sundance Resort' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=73",,73,Sundance Resort · 253 sonuç
BOD164,Swissôtel Resort Bodrum Sahili,Turgutreis,google_travel,,review_required,2026-08-26T12:03:10Z,"detected='Swissôtel Resort Bodrum Sahili · 1 sonuç' vs expected='Swissôtel Resort Bodrum Sahili' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=84",,84,Swissôtel Resort Bodrum Sahili · 1 sonuç
BOD165,Caja by Maxx Royal,Türkbükü,google_travel,,review_required,2026-08-26T12:03:25Z,"detected='Caja By Maxx Royal · 202 sonuç' vs expected='Caja by Maxx Royal' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=75",,75,Caja By Maxx Royal · 202 sonuç
BOD166,Divan Bodrum,Türkbükü,google_travel,https://www.google.com/travel/hotels/entity/ChcIk-_DgJbv8fJLGgsvZy8xdGQwal95YhAB?q=Divan%20Bodrum%20T%C3%BCrkb%C3%BCk%C3%BC%20Bodrum&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ&ved=2ahUKEwih_sCZoL6WAxXsakECHVPSOXkQvukIegQIAxAC,verified_direct,2026-08-26T12:03:50Z,"detected='Divan Bodrum' vs expected='Divan Bodrum' (card near-text was 'Divan Bodrum otelini yeni sekmede aç', 37 candidates on page) -> score=95",,95,Divan Bodrum
BOD167,Elista Hotel & Spa,Türkbükü,google_travel,https://www.google.com/travel/hotels/entity/ChkIrvDMk_Pn0fkFGg0vZy8xMWRmdjVkcXBiEAE?q=Elista%20Hotel%20%26%20Spa%20T%C3%BCrkb%C3%BCk%C3%BC%20Bodrum&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ&ved=2ahUKEwiimKWhoL6WAxVKRUECHfWaGioQvukIegQIAxAC,verified_direct,2026-08-26T12:04:06Z,"detected='Elista Hotel & Spa' vs expected='Elista Hotel & Spa' (card near-text was 'Elista Hotel & Spa otelini yeni sekmede aç', 37 candidates on page) -> score=95",,95,Elista Hotel & Spa
BOD168,Kuum Hotel & SPA Bodrum,Türkbükü,google_travel,https://www.google.com/travel/hotels/entity/ChgIufGG67rR0566ARoLL2cvMXdmcDYyN2sQAQ?q=Kuum%20Hotel%20%26%20SPA%20Bodrum%20T%C3%BCrkb%C3%BCk%C3%BC%20Bodrum&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ&ved=2ahUKEwiw38-ooL6WAxWvoHwGHSu_GAkQvukIegQIAxAC,verified_direct,2026-08-26T12:04:22Z,"detected='Kuum Hotel & SPA Bodrum' vs expected='Kuum Hotel & SPA Bodrum' (card near-text was 'Kuum Hotel & SPA Bodrum otelini yeni sekmede aç', 37 candidates on page) -> score=95",,95,Kuum Hotel & SPA Bodrum
BOD169,MACAKIZI BODRUM,Türkbükü,google_travel,https://www.google.com/travel/hotels/entity/ChgIvOfB4Iu2jbDJARoLL2cvMXRoaDRyajgQAQ?q=MACAKIZI%20BODRUM%20T%C3%BCrkb%C3%BCk%C3%BC%20Bodrum&ved=2ahUKEwjZ0qaxoL6WAxVjg3wGHQE6LnYQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgIKAA,verified_direct,2026-08-26T12:04:40Z,"detected='MACAKIZI BODRUM' vs expected='MACAKIZI BODRUM' (card near-text was 'MACAKIZI BODRUM otelini yeni sekmede aç', 37 candidates on page) -> score=95",,95,MACAKIZI BODRUM
BOD170,No:81 Hotel,Türkbükü,google_travel,,NOT_FOUND,2026-08-26T12:04:58Z,"detected='No:81 Hotel · 193 sonuç' vs expected='No:81 Hotel' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=67",,67,No:81 Hotel · 193 sonuç
BOD171,4 reasons Hotel Yalikavak,Yalıkavak,google_travel,https://www.google.com/travel/hotels/entity/ChgI_N-CvdDJqZ-AARoLL2cvMXY4NXc1NzAQAQ?q=4%20reasons%20Hotel%20Yalikavak%20Yal%C4%B1kavak%20Bodrum&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ&ved=2ahUKEwiv_NzBoL6WAxXQOAYAHd-5JVkQvukIegQIAxAC,verified_direct,2026-08-26T12:05:14Z,"detected='4 reasons Hotel Yalikavak' vs expected='4 reasons Hotel Yalikavak' (card near-text was '4 reasons Hotel Yalikavak otelini yeni sekmede aç', 37 candidates on page) -> score=95",,95,4 reasons Hotel Yalikavak
BOD172,Ailla Yalıkavak,Yalıkavak,google_travel,,NOT_FOUND,2026-08-26T12:05:30Z,"detected='Yalıkavak · 396 sonuç' vs expected='Ailla Yalıkavak' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=53",,53,Yalıkavak · 396 sonuç
BOD173,Allium Bodrum Resort & Spa,Yalıkavak,google_travel,,review_required,2026-08-26T12:05:48Z,"detected='Allium Bodrum Resort & Spa · 442 sonuç' vs expected='Allium Bodrum Resort & Spa' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=79",,79,Allium Bodrum Resort & Spa · 442 sonuç
BOD174,Arts Hotel Bodrum Yalıkavak,Yalıkavak,google_travel,,review_required,2026-08-26T12:06:05Z,"detected='Arts Hotel Bodrum Yalıkavak · 114 sonuç' vs expected='Arts Hotel Bodrum Yalıkavak' (card near-text was 'Yeni sekmede aç', 1 candidates on page) -> score=81",,81,Arts Hotel Bodrum Yalıkavak · 114 sonuç
